49.89 18.11 r
56.86 18.167 r
61.82 18.197 r
62.82 18.229 r
63.82 18.153 r
65.82 18.182 r
68.78 18.099 r
70.78 18.129 r
71.78 18.187 r
72.78 18.227 r
75.77 18.231 r
80.77 18.298 r
85.74 18.36 r
87.74 18.36 r
88.76 18.337 r
92.76 18.474 r
94.73 18.523 r
97.73 18.738 r
99.73 18.842 r
101.73 19.018 r
102.73 19.128 r
103.74 19.241 r
104.73 19.289 r
105.73 19.37 r
107.68 19.529 r
110.68 19.744 r
113.72 19.715 r
115.72 19.794 r
119.63 19.806 r
125.55 19.851 r
127.55 19.901 r
129.55 19.896 r
135.56 19.912 r
136.56 19.88 r
138.71 19.956 r
139.71 19.983 r
140.69 19.952 r
144.65 19.968 r
146.65 19.993 r
148.68 20.089 r
154.68 20.047 r
159.68 20.073 r
164.93 20.096 r
168.62 20.129 r
170.68 20.247 r
176.47 20.186 r
178.51 20.231 r
184.65 20.227 r
189.86 20.267 r
3.79 18.297 i
4.84 17.956 i
5.07 17.994 i
5.84 17.855 i
6.84 17.74 i
7.84 17.763 i
8.84 17.776 i
9.84 17.786 i
10.84 17.871 i
11.84 17.822 i
12.94 17.911 i
13.94 17.934 i
14.89 17.951 i
15.94 17.945 i
16.82 17.893 i
17.82 17.93 i
21.85 17.934 i
22.83 17.939 i
23.87 17.923 i
25.94 17.985 i
31.94 18.035 i
43.88 18.083 i
47.89 18.074 i
49.89 18.119 i
56.86 18.194 i
61.82 18.122 i
62.82 18.191 i
63.82 18.15 i
65.82 18.143 i
70.78 18.137 i
71.78 18.175 i
72.78 18.246 i
80.77 18.224 i
85.74 18.329 i
87.74 18.349 i
92.76 18.425 i
94.73 18.466 i
97.73 18.605 i
99.73 18.749 i
101.73 18.922 i
102.73 19.017 i
104.73 19.204 i
105.73 19.256 i
107.68 19.411 i
110.68 19.619 i
113.72 19.691 i
115.72 19.651 i
119.63 19.727 i
125.55 19.794 i
127.55 19.77 i
129.55 19.851 i
135.56 19.898 i
136.56 19.911 i
137.71 19.99 i
138.71 19.937 i
139.71 19.965 i
140.69 19.952 i
144.65 20.067 i
146.65 20.026 i
154.68 20.215 i
159.68 20.197 i
164.93 20.257 i
168.62 20.285 i
170.68 20.413 i
176.47 20.385 i
178.51 20.422 i
181.49 20.428 i
184.65 20.433 i
189.86 20.526 i
3.79 19.297 z
4.84 18.956 z
5.07 18.994 z
5.84 18.855 z
6.84 18.74 z
7.84 18.763 z
8.84 18.776 z
9.84 18.786 z
10.84 18.871 z
11.84 18.822 z
12.94 18.911 z
13.94 18.934 z
14.89 18.951 z
15.94 18.945 z
16.82 18.893 z
17.82 18.93 z
21.85 18.934 z
22.83 18.939 z
23.87 18.923 z
25.94 18.985 z
31.94 19.035 z
43.88 19.083 z
47.89 19.074 z
49.89 19.119 z
56.86 19.194 z
61.82 19.122 z
62.82 19.191 z
63.82 19.15 z
65.82 19.143 z
70.78 19.137 z
71.78 19.175 z
72.78 19.246 z
80.77 19.224 z
85.74 19.329 z
87.74 19.349 z
92.76 19.425 z
94.73 19.466 z
97.73 19.605 z
99.73 19.749 z
101.73 19.922 z
102.73 20.017 z
104.73 20.204 z
105.73 20.256 z
107.68 20.411 z
110.68 20.619 z
113.72 20.691 z
115.72 20.651 z
119.63 20.727 z
125.55 20.794 z
127.55 20.77 z
129.55 20.851 z
135.56 20.898 z
136.56 20.911 z
137.71 20.99 z
138.71 20.937 z
139.71 20.965 z
140.69 20.952 z
144.65 21.067 z
146.65 21.026 z
154.68 21.215 z
159.68 21.197 z
164.93 21.257 z
168.62 21.285 z
170.68 21.413 z
176.47 21.385 z
178.51 21.422 z
181.49 21.428 z
184.65 21.433 z
189.86 21.526 z
3.79 20.297 y
4.84 19.956 y
5.07 19.994 y
5.84 19.855 y
6.84 19.74 y
7.84 19.763 y
8.84 19.776 y
9.84 19.786 y
10.84 19.871 y
11.84 19.822 y
12.94 19.911 y
13.94 19.934 y
14.89 19.951 y
15.94 19.945 y
16.82 19.893 y
17.82 19.93 y
21.85 19.934 y
22.83 19.939 y
23.87 19.923 y
25.94 19.985 y
31.94 20.035 y
43.88 20.083 y
47.89 20.074 y
49.89 20.119 y
56.86 20.194 y
61.82 20.122 y
62.82 20.191 y
63.82 20.15 y
65.82 20.143 y
70.78 20.137 y
71.78 20.175 y
72.78 20.246 y
80.77 20.224 y
85.74 20.329 y
87.74 20.349 y
92.76 20.425 y
94.73 20.466 y
97.73 20.605 y
99.73 20.749 y
101.73 20.922 y
102.73 21.017 y
104.73 21.204 y
105.73 21.256 y
107.68 21.411 y
110.68 21.619 y
113.72 21.691 y
115.72 21.651 y
119.63 21.727 y
125.55 21.794 y
127.55 21.77 y
129.55 21.851 y
135.56 21.898 y
136.56 21.911 y
137.71 21.99 y
138.71 21.937 y
139.71 21.965 y
140.69 21.952 y
144.65 22.067 y
146.65 22.026 y
154.68 22.215 y
159.68 22.197 y
164.93 22.257 y
168.62 22.285 y
170.68 22.413 y
176.47 22.385 y
178.51 22.422 y
181.49 22.428 y
184.65 22.433 y
189.86 22.526 y
