#time magniutde filter
3.0 18.37 u
3.0 20.21 y
3.0 19.98 z
4.0 18.82 g
4.0 19.69 i
4.0 19.31 r
4.0 18.36 u
4.0 20.21 y
4.0 19.98 z
5.0 18.82 g
5.0 19.69 i
5.0 19.31 r
5.0 18.36 u
5.0 20.2 y
5.0 19.98 z
6.0 18.81 g
6.0 19.69 i
6.0 19.31 r
6.0 18.36 u
6.0 20.2 y
6.0 19.98 z
7.0 18.81 g
7.0 19.69 i
7.0 19.31 r
7.0 18.36 u
7.0 20.2 y
7.0 19.98 z
8.0 18.81 g
8.0 19.69 i
8.0 19.31 r
8.0 18.36 u
8.0 20.2 y
8.0 19.98 z
9.0 18.82 g
9.0 19.69 i
9.0 19.31 r
9.0 18.36 u
9.0 20.2 y
9.0 19.98 z
10.0 18.82 g
10.0 19.69 i
10.0 19.31 r
10.0 18.36 u
10.0 20.2 y
10.0 19.98 z
11.0 18.82 g
11.0 19.69 i
11.0 19.31 r
11.0 18.37 u
11.0 20.21 y
11.0 19.98 z
12.0 18.82 g
12.0 19.7 i
12.0 19.32 r
12.0 18.37 u
12.0 20.21 y
12.0 19.99 z
13.0 18.83 g
13.0 19.7 i
13.0 19.32 r
13.0 18.37 u
13.0 20.22 y
13.0 19.99 z
14.0 18.83 g
14.0 19.71 i
14.0 19.33 r
14.0 18.38 u
14.0 20.22 y
14.0 19.99 z
15.0 18.84 g
15.0 19.71 i
15.0 19.33 r
15.0 18.39 u
15.0 20.23 y
15.0 20.0 z
16.0 18.85 g
16.0 19.72 i
16.0 19.34 r
16.0 18.39 u
16.0 20.23 y
16.0 20.01 z
17.0 18.85 g
17.0 19.73 i
17.0 19.35 r
17.0 18.4 u
17.0 20.24 y
17.0 20.02 z
18.0 18.86 g
18.0 19.73 i
18.0 19.35 r
18.0 18.41 u
18.0 20.25 y
18.0 20.02 z
19.0 18.87 g
19.0 19.74 i
19.0 19.36 r
19.0 18.41 u
19.0 20.26 y
19.0 20.03 z
20.0 18.88 g
20.0 19.75 i
20.0 19.37 r
20.0 18.42 u
20.0 20.27 y
20.0 20.04 z
21.0 18.89 g
21.0 19.76 i
21.0 19.38 r
21.0 18.43 u
21.0 20.28 y
21.0 20.05 z
22.0 18.9 g
22.0 19.77 i
22.0 19.39 r
22.0 18.44 u
22.0 20.29 y
22.0 20.06 z
23.0 18.91 g
23.0 19.78 i
