#time magniutde filter
-3.0 21.83 y
-3.0 21.67 z
-2.0 20.9 g
-2.0 21.41 i
-2.0 21.16 r
-2.0 20.68 u
-2.0 21.76 y
-2.0 21.61 z
-1.0 20.85 g
-1.0 21.36 i
-1.0 21.11 r
-1.0 20.64 u
-1.0 21.71 y
-1.0 21.55 z
0.0 20.81 g
0.0 21.32 i
0.0 21.07 r
0.0 20.6 u
0.0 21.67 y
0.0 21.51 z
1.0 20.79 g
1.0 21.29 i
1.0 21.05 r
1.0 20.58 u
1.0 21.64 y
1.0 21.49 z
2.0 20.78 g
2.0 21.28 i
2.0 21.03 r
2.0 20.57 u
2.0 21.62 y
2.0 21.47 z
3.0 20.77 g
3.0 21.27 i
3.0 21.03 r
3.0 20.56 u
3.0 21.62 y
3.0 21.47 z
4.0 20.78 g
4.0 21.28 i
4.0 21.04 r
4.0 20.57 u
4.0 21.63 y
4.0 21.48 z
5.0 20.8 g
5.0 21.3 i
5.0 21.06 r
5.0 20.59 u
5.0 21.65 y
5.0 21.5 z
6.0 20.83 g
6.0 21.33 i
6.0 21.09 r
6.0 20.62 u
6.0 21.68 y
6.0 21.53 z
7.0 20.87 g
7.0 21.37 i
7.0 21.13 r
7.0 20.66 u
7.0 21.72 y
7.0 21.56 z
8.0 20.91 g
8.0 21.42 i
8.0 21.17 r
8.0 20.7 u
8.0 21.76 y
8.0 21.61 z
9.0 20.96 g
9.0 21.47 i
9.0 21.22 r
9.0 20.75 u
9.0 21.82 y
9.0 21.67 z
10.0 21.02 g
10.0 21.53 i
10.0 21.28 r
10.0 20.81 u
10.0 21.88 y
10.0 21.73 z
11.0 21.08 g
11.0 21.59 i
11.0 21.35 r
11.0 20.87 u
11.0 21.95 y
11.0 21.79 z
12.0 21.15 g
12.0 21.66 i
12.0 21.41 r
12.0 20.93 u
12.0 22.01 y
12.0 21.86 z
13.0 21.22 g
13.0 21.73 i
13.0 21.48 r
13.0 20.99 u
13.0 22.09 y
13.0 21.93 z
14.0 21.28 g
14.0 21.8 i
14.0 21.55 r
14.0 21.06 u
14.0 22.16 y
14.0 22.0 z
15.0 21.35 g
15.0 21.88 i
15.0 21.63 r
15.0 21.13 u
15.0 22.23 y
15.0 22.08 z
16.0 21.42 g
16.0 21.95 i
16.0 21.7 r
16.0 21.19 u
16.0 22.31 y
16.0 22.15 z
17.0 21.49 g
17.0 22.02 i
17.0 21.77 r
17.0 21.26 u
17.0 22.38 y
17.0 22.22 z
18.0 21.56 g
18.0 22.09 i
18.0 21.84 r
18.0 21.32 u
18.0 22.45 y
18.0 22.29 z
19.0 21.63 g
19.0 22.16 i
19.0 21.9 r
19.0 21.39 u
19.0 22.52 y
19.0 22.36 z
20.0 21.69 g
20.0 22.23 i
20.0 21.97 r
20.0 21.45 u
20.0 22.59 y
20.0 22.43 z
21.0 21.75 g
21.0 22.29 i
21.0 22.03 r
21.0 21.51 u
21.0 22.65 y
21.0 22.5 z
22.0 21.81 g
22.0 22.36 i
22.0 22.1 r
22.0 21.57 u
22.0 22.72 y
22.0 22.56 z
23.0 21.87 g
23.0 22.42 i
23.0 22.16 r
23.0 21.63 u
23.0 22.78 y
23.0 22.62 z
24.0 21.93 g
24.0 22.48 i
24.0 22.22 r
24.0 21.68 u
24.0 22.84 y
24.0 22.68 z
25.0 21.99 g
25.0 22.54 i
25.0 22.28 r
25.0 21.74 u
25.0 22.9 y
25.0 22.74 z
26.0 22.04 g
26.0 22.59 i
26.0 22.33 r
26.0 21.79 u
26.0 22.96 y
26.0 22.8 z
27.0 22.1 g
27.0 22.65 i
27.0 22.39 r
27.0 21.84 u
27.0 23.02 y
27.0 22.86 z
28.0 22.15 g
28.0 22.71 i
28.0 22.44 r
28.0 21.89 u
28.0 23.07 y
28.0 22.91 z
29.0 22.2 g
29.0 22.76 i
29.0 22.5 r
29.0 21.94 u
29.0 23.13 y
29.0 22.97 z
30.0 22.25 g
30.0 22.81 i
30.0 22.55 r
30.0 21.99 u
30.0 23.18 y
30.0 23.02 z
31.0 22.3 g
31.0 22.86 i
31.0 22.6 r
31.0 22.04 u
31.0 23.23 y
31.0 23.07 z
32.0 22.35 g
32.0 22.92 i
32.0 22.65 r
32.0 22.09 u
32.0 23.29 y
32.0 23.13 z
33.0 22.4 g
33.0 22.97 i
33.0 22.7 r
33.0 22.14 u
33.0 23.34 y
33.0 23.18 z
34.0 22.45 g
34.0 23.02 i
34.0 22.75 r
34.0 22.19 u
34.0 23.39 y
34.0 23.23 z
35.0 22.5 g
35.0 23.07 i
35.0 22.8 r
35.0 22.23 u
35.0 23.44 y
35.0 23.28 z
36.0 22.55 g
36.0 23.12 i
36.0 22.85 r
36.0 22.28 u
36.0 23.49 y
36.0 23.33 z
37.0 22.59 g
37.0 23.16 i
37.0 22.89 r
37.0 22.32 u
37.0 23.54 y
37.0 23.37 z
38.0 22.64 g
38.0 23.21 i
38.0 22.94 r
38.0 22.37 u
38.0 23.59 y
38.0 23.42 z
39.0 22.68 g
39.0 23.26 i
39.0 22.99 r
39.0 22.41 u
39.0 23.63 y
39.0 23.47 z
40.0 22.73 g
40.0 23.3 i
40.0 23.03 r
40.0 22.45 u
40.0 23.68 y
40.0 23.52 z
41.0 22.77 g
41.0 23.35 i
41.0 23.08 r
41.0 22.5 u
41.0 23.73 y
41.0 23.56 z
42.0 22.82 g
42.0 23.4 i
42.0 23.12 r
42.0 22.54 u
42.0 23.77 y
42.0 23.61 z
43.0 22.86 g
43.0 23.44 i
43.0 23.17 r
43.0 22.58 u
43.0 23.82 y
43.0 23.65 z
44.0 22.9 g
44.0 23.49 i
44.0 23.21 r
44.0 22.63 u
44.0 23.86 y
44.0 23.7 z
45.0 22.95 g
45.0 23.53 i
45.0 23.26 r
45.0 22.67 u
45.0 23.91 y
45.0 23.74 z
46.0 22.99 g
46.0 23.57 i
46.0 23.3 r
46.0 22.71 u
46.0 23.95 y
46.0 23.79 z
47.0 23.03 g
47.0 23.62 i
47.0 23.34 r
47.0 22.75 u
47.0 24.0 y
47.0 23.83 z
48.0 23.07 g
48.0 23.66 i
48.0 23.39 r
48.0 22.79 u
48.0 24.04 y
48.0 23.87 z
49.0 23.11 g
49.0 23.7 i
49.0 23.43 r
49.0 22.83 u
49.0 24.08 y
49.0 23.92 z
50.0 23.15 g
50.0 23.74 i
50.0 23.47 r
50.0 22.87 u
50.0 24.12 y
50.0 23.96 z
51.0 23.19 g
51.0 23.79 i
51.0 23.51 r
51.0 22.91 u
51.0 24.17 y
51.0 24.0 z
52.0 23.23 g
52.0 23.83 i
52.0 23.55 r
52.0 22.95 u
52.0 24.21 y
52.0 24.04 z
53.0 23.27 g
53.0 23.87 i
53.0 23.59 r
53.0 22.99 u
53.0 24.25 y
53.0 24.08 z
54.0 23.31 g
54.0 23.91 i
54.0 23.63 r
54.0 23.02 u
54.0 24.29 y
54.0 24.12 z
55.0 23.35 g
55.0 23.95 i
55.0 23.67 r
55.0 23.06 u
55.0 24.33 y
55.0 24.16 z
56.0 23.39 g
56.0 23.99 i
56.0 23.71 r
56.0 23.1 u
56.0 24.37 y
56.0 24.2 z
57.0 23.43 g
57.0 24.03 i
57.0 23.75 r
57.0 23.14 u
57.0 24.41 y
57.0 24.24 z
58.0 23.46 g
58.0 24.06 i
58.0 23.79 r
58.0 23.17 u
58.0 24.45 y
58.0 24.28 z
59.0 23.5 g
59.0 24.1 i
59.0 23.82 r
59.0 23.21 u
59.0 24.49 y
59.0 24.32 z
60.0 23.54 g
60.0 24.14 i
60.0 23.86 r
60.0 23.24 u
60.0 24.53 y
60.0 24.36 z
61.0 23.57 g
61.0 24.18 i
61.0 23.9 r
61.0 23.28 u
61.0 24.56 y
61.0 24.4 z
62.0 23.61 g
62.0 24.22 i
62.0 23.93 r
62.0 23.31 u
62.0 24.6 y
62.0 24.43 z
63.0 23.65 g
63.0 24.25 i
63.0 23.97 r
63.0 23.35 u
63.0 24.64 y
63.0 24.47 z
64.0 23.68 g
64.0 24.29 i
64.0 24.01 r
64.0 23.38 u
64.0 24.67 y
64.0 24.51 z
65.0 23.72 g
65.0 24.32 i
65.0 24.04 r
65.0 23.42 u
65.0 24.71 y
65.0 24.54 z
66.0 23.75 g
66.0 24.36 i
66.0 24.08 r
66.0 23.45 u
66.0 24.75 y
66.0 24.58 z
67.0 23.79 g
67.0 24.4 i
67.0 24.11 r
67.0 23.49 u
67.0 24.78 y
67.0 24.61 z
68.0 23.82 g
68.0 24.43 i
68.0 24.15 r
68.0 23.52 u
68.0 24.82 y
68.0 24.65 z
69.0 23.85 g
69.0 24.47 i
69.0 24.18 r
69.0 23.55 u
69.0 24.85 y
69.0 24.68 z
70.0 23.89 g
70.0 24.5 i
70.0 24.22 r
70.0 23.59 u
70.0 24.89 y
70.0 24.72 z
71.0 23.92 g
71.0 24.53 i
71.0 24.25 r
71.0 23.62 u
71.0 24.92 y
71.0 24.75 z
72.0 23.95 g
72.0 24.57 i
72.0 24.28 r
72.0 23.65 u
72.0 24.96 y
72.0 24.79 z
73.0 23.99 g
73.0 24.6 i
73.0 24.32 r
73.0 23.68 u
73.0 24.99 y
73.0 24.82 z
74.0 24.02 g
74.0 24.63 i
74.0 24.35 r
74.0 23.71 u
74.0 25.02 y
74.0 24.85 z
75.0 24.05 g
75.0 24.67 i
75.0 24.38 r
75.0 23.75 u
75.0 25.06 y
75.0 24.89 z
76.0 24.08 g
76.0 24.7 i
76.0 24.41 r
76.0 23.78 u
76.0 25.09 y
76.0 24.92 z
77.0 24.11 g
77.0 24.73 i
77.0 24.45 r
77.0 23.81 u
77.0 25.12 y
77.0 24.95 z
78.0 24.15 g
78.0 24.76 i
78.0 24.48 r
78.0 23.84 u
78.0 25.15 y
78.0 24.99 z
79.0 24.18 g
79.0 24.8 i
79.0 24.51 r
79.0 23.87 u
79.0 25.19 y
79.0 25.02 z
80.0 24.21 g
80.0 24.83 i
80.0 24.54 r
80.0 23.9 u
80.0 25.22 y
80.0 25.05 z
81.0 24.24 g
81.0 24.86 i
81.0 24.57 r
81.0 23.93 u
81.0 25.25 y
81.0 25.08 z
82.0 24.27 g
82.0 24.89 i
82.0 24.6 r
82.0 23.96 u
82.0 25.28 y
82.0 25.11 z
83.0 24.3 g
83.0 24.92 i
83.0 24.63 r
83.0 23.99 u
83.0 25.31 y
83.0 25.14 z
84.0 24.33 g
84.0 24.95 i
84.0 24.66 r
84.0 24.02 u
84.0 25.34 y
84.0 25.17 z
85.0 24.36 g
85.0 24.98 i
85.0 24.69 r
85.0 24.05 u
85.0 25.37 y
85.0 25.2 z
86.0 24.39 g
86.0 25.01 i
86.0 24.72 r
86.0 24.07 u
86.0 25.4 y
86.0 25.23 z
87.0 24.42 g
87.0 25.04 i
87.0 24.75 r
87.0 24.1 u
87.0 25.43 y
87.0 25.26 z
88.0 24.44 g
88.0 25.07 i
88.0 24.78 r
88.0 24.13 u
88.0 25.46 y
88.0 25.29 z
89.0 24.47 g
89.0 25.1 i
89.0 24.81 r
89.0 24.16 u
89.0 25.49 y
89.0 25.32 z
90.0 24.5 g
90.0 25.13 i
90.0 24.84 r
90.0 24.19 u
90.0 25.52 y
90.0 25.35 z
91.0 24.53 g
91.0 25.16 i
91.0 24.87 r
91.0 24.21 u
91.0 25.55 y
91.0 25.38 z
92.0 24.56 g
92.0 25.19 i
92.0 24.9 r
92.0 24.24 u
92.0 25.58 y
92.0 25.41 z
93.0 24.58 g
93.0 25.21 i
93.0 24.92 r
93.0 24.27 u
93.0 25.61 y
93.0 25.44 z
94.0 24.61 g
94.0 25.24 i
94.0 24.95 r
94.0 24.3 u
94.0 25.64 y
94.0 25.47 z
95.0 24.64 g
95.0 25.27 i
95.0 24.98 r
95.0 24.32 u
95.0 25.66 y
95.0 25.49 z
96.0 24.67 g
96.0 25.3 i
96.0 25.01 r
96.0 24.35 u
96.0 25.69 y
96.0 25.52 z
97.0 24.69 g
97.0 25.32 i
97.0 25.03 r
97.0 24.38 u
97.0 25.72 y
97.0 25.55 z
98.0 24.72 g
98.0 25.35 i
98.0 25.06 r
98.0 24.4 u
98.0 25.75 y
98.0 25.58 z
99.0 24.75 g
99.0 25.38 i
99.0 25.09 r
99.0 24.43 u
99.0 25.77 y
99.0 25.6 z
100.0 24.77 g
100.0 25.41 i
100.0 25.11 r
100.0 24.45 u
100.0 25.8 y
100.0 25.63 z
101.0 24.8 g
101.0 25.43 i
101.0 25.14 r
101.0 24.48 u
101.0 25.83 y
101.0 25.66 z
102.0 24.82 g
102.0 25.46 i
102.0 25.17 r
102.0 24.5 u
102.0 25.85 y
102.0 25.68 z
103.0 24.85 g
103.0 25.49 i
103.0 25.19 r
103.0 24.53 u
103.0 25.88 y
103.0 25.71 z
104.0 24.88 g
104.0 25.51 i
104.0 25.22 r
104.0 24.56 u
104.0 25.91 y
104.0 25.74 z
105.0 24.9 g
105.0 25.54 i
105.0 25.24 r
105.0 24.58 u
105.0 25.93 y
105.0 25.76 z
106.0 24.93 g
106.0 25.56 i
106.0 25.27 r
106.0 24.6 u
106.0 25.96 y
106.0 25.79 z
107.0 24.95 g
107.0 25.59 i
107.0 25.3 r
107.0 24.63 u
107.0 25.99 y
107.0 25.81 z
108.0 24.98 g
108.0 25.61 i
108.0 25.32 r
108.0 24.65 u
108.0 26.01 y
108.0 25.84 z
109.0 25.0 g
109.0 25.64 i
109.0 25.35 r
109.0 24.68 u
109.0 26.04 y
109.0 25.86 z
110.0 25.02 g
110.0 25.66 i
110.0 25.37 r
110.0 24.7 u
110.0 26.06 y
110.0 25.89 z
111.0 25.05 g
111.0 25.69 i
111.0 25.39 r
111.0 24.73 u
111.0 26.09 y
111.0 25.91 z
112.0 25.07 g
112.0 25.71 i
112.0 25.42 r
112.0 24.75 u
112.0 26.11 y
112.0 25.94 z
113.0 25.1 g
113.0 25.74 i
113.0 25.44 r
113.0 24.77 u
113.0 26.14 y
113.0 25.96 z
114.0 25.12 g
114.0 25.76 i
114.0 25.47 r
114.0 24.8 u
114.0 26.16 y
114.0 25.99 z
115.0 25.14 g
115.0 25.79 i
115.0 25.49 r
115.0 24.82 u
115.0 26.18 y
115.0 26.01 z
116.0 25.17 g
116.0 25.81 i
116.0 25.51 r
116.0 24.84 u
116.0 26.21 y
116.0 26.03 z
117.0 25.19 g
117.0 25.83 i
117.0 25.54 r
117.0 24.87 u
117.0 26.23 y
117.0 26.06 z
118.0 25.21 g
118.0 25.86 i
118.0 25.56 r
118.0 24.89 u
118.0 26.26 y
118.0 26.08 z
119.0 25.24 g
119.0 25.88 i
119.0 25.58 r
119.0 24.91 u
119.0 26.28 y
119.0 26.11 z
120.0 25.26 g
120.0 25.9 i
120.0 25.61 r
120.0 24.93 u
120.0 26.3 y
120.0 26.13 z
121.0 25.28 g
121.0 25.93 i
121.0 25.63 r
121.0 24.96 u
121.0 26.33 y
121.0 26.15 z
122.0 25.3 g
122.0 25.95 i
122.0 25.65 r
122.0 24.98 u
122.0 26.35 y
122.0 26.18 z
123.0 25.33 g
123.0 25.97 i
123.0 25.68 r
123.0 25.0 u
123.0 26.37 y
123.0 26.2 z
124.0 25.35 g
124.0 25.99 i
124.0 25.7 r
124.0 25.02 u
124.0 26.39 y
124.0 26.22 z
125.0 25.37 g
125.0 26.02 i
125.0 25.72 r
125.0 25.04 u
125.0 26.42 y
125.0 26.24 z
126.0 25.39 g
126.0 26.04 i
126.0 25.74 r
126.0 25.06 u
126.0 26.44 y
126.0 26.27 z
127.0 25.41 g
127.0 26.06 i
127.0 25.76 r
127.0 25.09 u
127.0 26.46 y
127.0 26.29 z
128.0 25.44 g
128.0 26.08 i
128.0 25.79 r
128.0 25.11 u
128.0 26.48 y
128.0 26.31 z
129.0 25.46 g
129.0 26.1 i
129.0 25.81 r
129.0 25.13 u
129.0 26.51 y
129.0 26.33 z
130.0 25.48 g
130.0 26.13 i
130.0 25.83 r
130.0 25.15 u
130.0 26.53 y
130.0 26.35 z
131.0 25.5 g
131.0 26.15 i
131.0 25.85 r
131.0 25.17 u
131.0 26.55 y
131.0 26.37 z
132.0 25.52 g
132.0 26.17 i
132.0 25.87 r
132.0 25.19 u
132.0 26.57 y
132.0 26.4 z
133.0 25.54 g
133.0 26.19 i
133.0 25.89 r
133.0 25.21 u
133.0 26.59 y
133.0 26.42 z
134.0 25.56 g
134.0 26.21 i
134.0 25.91 r
134.0 25.23 u
134.0 26.61 y
134.0 26.44 z
135.0 25.58 g
135.0 26.23 i
135.0 25.94 r
135.0 25.25 u
135.0 26.63 y
135.0 26.46 z
136.0 25.6 g
136.0 26.25 i
136.0 25.96 r
136.0 25.27 u
136.0 26.65 y
136.0 26.48 z
137.0 25.62 g
137.0 26.27 i
137.0 25.98 r
137.0 25.29 u
137.0 26.68 y
137.0 26.5 z
138.0 25.64 g
138.0 26.29 i
138.0 26.0 r
138.0 25.31 u
138.0 26.7 y
138.0 26.52 z
139.0 25.66 g
139.0 26.31 i
139.0 26.02 r
139.0 25.33 u
139.0 26.72 y
139.0 26.54 z
140.0 25.68 g
140.0 26.33 i
140.0 26.04 r
140.0 25.35 u
140.0 26.74 y
140.0 26.56 z
141.0 25.7 g
141.0 26.36 i
141.0 26.06 r
141.0 25.37 u
141.0 26.76 y
141.0 26.58 z
142.0 25.72 g
142.0 26.38 i
142.0 26.08 r
142.0 25.39 u
142.0 26.78 y
142.0 26.6 z
143.0 25.74 g
143.0 26.4 i
143.0 26.1 r
143.0 25.41 u
143.0 26.8 y
143.0 26.62 z
144.0 25.76 g
144.0 26.41 i
144.0 26.12 r
144.0 25.43 u
144.0 26.82 y
144.0 26.64 z
145.0 25.78 g
145.0 26.43 i
145.0 26.14 r
145.0 25.45 u
145.0 26.84 y
145.0 26.66 z
146.0 25.8 g
146.0 26.45 i
146.0 26.16 r
146.0 25.47 u
146.0 26.86 y
146.0 26.68 z
147.0 25.82 g
147.0 26.47 i
147.0 26.17 r
147.0 25.49 u
147.0 26.88 y
147.0 26.7 z
148.0 25.84 g
148.0 26.49 i
148.0 26.19 r
148.0 25.5 u
148.0 26.9 y
148.0 26.72 z
149.0 25.86 g
149.0 26.51 i
149.0 26.21 r
149.0 25.52 u
149.0 26.91 y
149.0 26.74 z
150.0 25.88 g
150.0 26.53 i
150.0 26.23 r
150.0 25.54 u
150.0 26.93 y
150.0 26.76 z
151.0 25.9 g
151.0 26.55 i
151.0 26.25 r
151.0 25.56 u
151.0 26.95 y
151.0 26.78 z
152.0 25.91 g
152.0 26.57 i
152.0 26.27 r
152.0 25.58 u
152.0 26.97 y
152.0 26.8 z
153.0 25.93 g
153.0 26.59 i
153.0 26.29 r
153.0 25.6 u
153.0 26.99 y
153.0 26.82 z
154.0 25.95 g
154.0 26.61 i
154.0 26.31 r
154.0 25.61 u
154.0 27.01 y
154.0 26.83 z
155.0 25.97 g
155.0 26.62 i
155.0 26.32 r
155.0 25.63 u
155.0 27.03 y
155.0 26.85 z
156.0 25.99 g
156.0 26.64 i
156.0 26.34 r
156.0 25.65 u
156.0 27.05 y
156.0 26.87 z
157.0 26.0 g
157.0 26.66 i
157.0 26.36 r
157.0 25.67 u
157.0 27.06 y
157.0 26.89 z
158.0 26.02 g
158.0 26.68 i
158.0 26.38 r
158.0 25.69 u
158.0 27.08 y
158.0 26.91 z
159.0 26.04 g
159.0 26.7 i
159.0 26.4 r
159.0 25.7 u
159.0 27.1 y
159.0 26.93 z
160.0 26.06 g
160.0 26.71 i
160.0 26.41 r
160.0 25.72 u
160.0 27.12 y
160.0 26.94 z
161.0 26.07 g
161.0 26.73 i
161.0 26.43 r
161.0 25.74 u
161.0 27.14 y
161.0 26.96 z
162.0 26.09 g
162.0 26.75 i
162.0 26.45 r
162.0 25.75 u
162.0 27.15 y
162.0 26.98 z
163.0 26.11 g
163.0 26.77 i
163.0 26.47 r
163.0 25.77 u
163.0 27.17 y
163.0 27.0 z
164.0 26.13 g
164.0 26.78 i
164.0 26.48 r
164.0 25.79 u
164.0 27.19 y
164.0 27.01 z
165.0 26.14 g
165.0 26.8 i
165.0 26.5 r
165.0 25.81 u
165.0 27.21 y
165.0 27.03 z
166.0 26.16 g
166.0 26.82 i
166.0 26.52 r
166.0 25.82 u
166.0 27.22 y
166.0 27.05 z
167.0 26.18 g
167.0 26.84 i
167.0 26.54 r
167.0 25.84 u
167.0 27.24 y
167.0 27.07 z
168.0 26.19 g
168.0 26.85 i
168.0 26.55 r
168.0 25.86 u
168.0 27.26 y
168.0 27.08 z
169.0 26.21 g
169.0 26.87 i
169.0 26.57 r
169.0 25.87 u
169.0 27.28 y
169.0 27.1 z
170.0 26.23 g
170.0 26.89 i
170.0 26.59 r
170.0 25.89 u
170.0 27.29 y
170.0 27.12 z
171.0 26.24 g
171.0 26.9 i
171.0 26.6 r
171.0 25.9 u
171.0 27.31 y
171.0 27.13 z
172.0 26.26 g
172.0 26.92 i
172.0 26.62 r
172.0 25.92 u
172.0 27.33 y
172.0 27.15 z
173.0 26.28 g
173.0 26.94 i
173.0 26.64 r
173.0 25.94 u
173.0 27.34 y
173.0 27.17 z
174.0 26.29 g
174.0 26.95 i
174.0 26.65 r
174.0 25.95 u
174.0 27.36 y
174.0 27.18 z
175.0 26.31 g
175.0 26.97 i
175.0 26.67 r
175.0 25.97 u
175.0 27.38 y
175.0 27.2 z
176.0 26.33 g
176.0 26.99 i
176.0 26.68 r
176.0 25.98 u
176.0 27.39 y
176.0 27.22 z
177.0 26.34 g
177.0 27.0 i
177.0 26.7 r
177.0 26.0 u
177.0 27.41 y
177.0 27.23 z
178.0 26.36 g
178.0 27.02 i
178.0 26.72 r
178.0 26.02 u
178.0 27.42 y
178.0 27.25 z
179.0 26.37 g
179.0 27.03 i
179.0 26.73 r
179.0 26.03 u
179.0 27.44 y
179.0 27.26 z
180.0 26.39 g
180.0 27.05 i
180.0 26.75 r
180.0 26.05 u
180.0 27.46 y
180.0 27.28 z
181.0 26.4 g
181.0 27.07 i
181.0 26.76 r
181.0 26.06 u
181.0 27.47 y
181.0 27.3 z
182.0 26.42 g
182.0 27.08 i
182.0 26.78 r
182.0 26.08 u
182.0 27.49 y
182.0 27.31 z
183.0 26.43 g
183.0 27.1 i
183.0 26.79 r
183.0 26.09 u
183.0 27.5 y
183.0 27.33 z
184.0 26.45 g
184.0 27.11 i
184.0 26.81 r
184.0 26.11 u
184.0 27.52 y
184.0 27.34 z
185.0 26.46 g
185.0 27.13 i
185.0 26.83 r
185.0 26.12 u
185.0 27.53 y
185.0 27.36 z
186.0 26.48 g
186.0 27.14 i
186.0 26.84 r
186.0 26.14 u
186.0 27.55 y
186.0 27.37 z
187.0 26.49 g
187.0 27.16 i
187.0 26.86 r
187.0 26.15 u
187.0 27.56 y
187.0 27.39 z
188.0 26.51 g
188.0 27.17 i
188.0 26.87 r
188.0 26.17 u
188.0 27.58 y
188.0 27.4 z
189.0 26.52 g
189.0 27.19 i
189.0 26.89 r
189.0 26.18 u
189.0 27.59 y
189.0 27.42 z
190.0 26.54 g
190.0 27.2 i
190.0 26.9 r
190.0 26.2 u
190.0 27.61 y
190.0 27.43 z
191.0 26.55 g
191.0 27.22 i
191.0 26.92 r
191.0 26.21 u
191.0 27.62 y
191.0 27.45 z
192.0 26.57 g
192.0 27.23 i
192.0 26.93 r
192.0 26.23 u
192.0 27.64 y
192.0 27.46 z
193.0 26.58 g
193.0 27.25 i
193.0 26.94 r
193.0 26.24 u
193.0 27.65 y
193.0 27.48 z
194.0 26.6 g
194.0 27.26 i
194.0 26.96 r
194.0 26.25 u
194.0 27.67 y
194.0 27.49 z
195.0 26.61 g
195.0 27.28 i
195.0 26.97 r
195.0 26.27 u
195.0 27.68 y
195.0 27.51 z
196.0 26.63 g
196.0 27.29 i
196.0 26.99 r
196.0 26.28 u
196.0 27.7 y
196.0 27.52 z
197.0 26.64 g
197.0 27.3 i
197.0 27.0 r
197.0 26.3 u
197.0 27.71 y
197.0 27.54 z
198.0 26.65 g
198.0 27.32 i
198.0 27.02 r
198.0 26.31 u
198.0 27.73 y
198.0 27.55 z
199.0 26.67 g
199.0 27.33 i
199.0 27.03 r
199.0 26.32 u
199.0 27.74 y
199.0 27.56 z
200.0 26.68 g
200.0 27.35 i
200.0 27.04 r
200.0 26.34 u
200.0 27.76 y
200.0 27.58 z
201.0 26.7 g
201.0 27.36 i
201.0 27.06 r
201.0 26.35 u
201.0 27.77 y
201.0 27.59 z
202.0 26.71 g
202.0 27.38 i
202.0 27.07 r
202.0 26.36 u
202.0 27.78 y
202.0 27.61 z
203.0 26.72 g
203.0 27.39 i
203.0 27.09 r
203.0 26.38 u
203.0 27.8 y
203.0 27.62 z
204.0 26.74 g
204.0 27.4 i
204.0 27.1 r
204.0 26.39 u
204.0 27.81 y
204.0 27.63 z
205.0 26.75 g
205.0 27.42 i
205.0 27.11 r
205.0 26.41 u
205.0 27.82 y
205.0 27.65 z
206.0 26.76 g
206.0 27.43 i
206.0 27.13 r
206.0 26.42 u
206.0 27.84 y
206.0 27.66 z
207.0 26.78 g
207.0 27.44 i
207.0 27.14 r
207.0 26.43 u
207.0 27.85 y
207.0 27.68 z
208.0 26.79 g
208.0 27.46 i
208.0 27.15 r
208.0 26.45 u
208.0 27.87 y
208.0 27.69 z
209.0 26.8 g
209.0 27.47 i
209.0 27.17 r
209.0 26.46 u
209.0 27.88 y
209.0 27.7 z
210.0 26.82 g
210.0 27.48 i
210.0 27.18 r
210.0 26.47 u
210.0 27.89 y
210.0 27.72 z
211.0 26.83 g
211.0 27.5 i
211.0 27.19 r
211.0 26.48 u
211.0 27.91 y
211.0 27.73 z
